        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Image               | Intel                 | 00000000 | 01000000 | 315BC043 |  Intel image
 Region              | Descriptor            | 00000000 | 00001000 | 7B176207 | - Descriptor region
 Region              | ME                    | 00001000 | 003FF000 | 88434441 | - ME region
 IFWI header         |                       | 00001000 | 00000050 | B73D0141 | -- IFWI 1.7 header
 Padding             | Empty (FFh)           | 00001050 | 00001FB0 | 12F667DF | -- Padding
 IFWI partition      | Boot                  | 00003000 | 001A2000 | AAEE87F9 | -- Boot partition
 BPDT store          |                       | 00003000 | 000000A8 | 36F678E1 | --- BPDT partition table
 BPDT entry          |                       | 00003018 | 0000000C | E67CFCFE | ---- Debug Launch Module
 BPDT entry          |                       | 00003024 | 0000000C | 91E22E0E | ---- IFP Bypass
 BPDT entry          |                       | 00003030 | 0000000C | E376B17F | ---- Secondary BPDT
 BPDT entry          |                       | 0000303C | 0000000C | 7F803C0F | ---- ROM Boot Extensions
 BPDT entry          |                       | 00003048 | 0000000C | 7EDF8BEE | ---- UFS PHY Config
 BPDT entry          |                       | 00003054 | 0000000C | E57AC781 | ---- UFS GPP LUN
 BPDT entry          |                       | 00003060 | 0000000C | 759E27A8 | ---- OEM Key Manifest
 BPDT entry          |                       | 0000306C | 0000000C | 3CA3E11C | ---- Bring Up
 BPDT entry          |                       | 00003078 | 0000000C | D21C75EC | ---- PMC
 BPDT entry          |                       | 00003084 | 0000000C | 58AEBD47 | ---- TCSS FW IOM
 BPDT entry          |                       | 00003090 | 0000000C | 2BDDA3B1 | ---- TCSS FW PHY
 BPDT entry          |                       | 0000309C | 0000000C | BA5103D4 | ---- PCH Config
 Padding             | Empty (FFh)           | 000030A8 | 00000F58 | B169EE27 | --- Padding
 BPDT partition      |                       | 00004000 | 00018000 | 744B426D | --- ROM Boot Extensions | ROM Boot Extensions
 CPD store           |                       | 00004000 | 0000005C | 5ED58504 | ---- CPD partition table
 CPD entry           |                       | 00004014 | 00000018 | 376BD256 | ----- RBEP.man
 CPD entry           |                       | 0000402C | 00000018 | 768664A7 | ----- rbe
 CPD entry           |                       | 00004044 | 00000018 | 5F4D85A0 | ----- rbe.met
 CPD partition       | Manifest              | 0000405C | 000006AC | 8EF2E1F7 | ---- RBEP.man
 CPD extension       |                       | 000043E0 | 00000078 | 2103708D | ----- Signed Package Info
 CPD SPI entry       |                       | 000043E0 | 00000044 | 08A3DF0A | ------ rbe
 CPD extension       |                       | 00004458 | 00000068 | 7F9C8F53 | ----- IFWI Partition Manifest
 CPD extension       |                       | 000044C0 | 0000003C | F21F1A33 | ----- Golden Measurement File Body
 CPD extension       |                       | 000044FC | 0000020C | EA24D189 | ----- Golden Measurement File Certificate
 CPD partition       | Metadata              | 00004708 | 0000008C | E4357EA5 | ---- rbe.met
 CPD extension       |                       | 00004708 | 00000048 | D3098F2C | ----- Module Attributes
 CPD extension       |                       | 00004750 | 00000044 | E48518EB | ----- Process Attributes
 Padding             | Empty (FFh)           | 00004794 | 0000086C | 21751E25 | ---- Padding
 CPD partition       | Code                  | 00005000 | 00015578 | 9650E7D8 | ---- rbe
 Padding             | Empty (FFh)           | 0001A578 | 00001A88 | 7FDD3FE9 | ---- Padding
 BPDT partition      |                       | 0001C000 | 00040000 | 5C0769CE | --- PMC | PMC
 CPD store           |                       | 0001C000 | 000000EC | 33D0E5C8 | ---- CPD partition table
 CPD entry           |                       | 0001C014 | 00000018 | D7887D96 | ----- PMCP.man
 CPD entry           |                       | 0001C02C | 00000018 | 6553E5DA | ----- PMCC000
 CPD entry           |                       | 0001C044 | 00000018 | 62D33C96 | ----- PMCC000.met
